PLAYER,Team,POS,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,REB,AST,STL,BLK,TO,DD2,TD3,PER
Allen Iverson,PHI,SG,60,43.7,31.4,11.1,27.8,39.8,1.3,4.5,29.1,7.9,9.8,81.2,4.5,5.5,4.0,2.8,0.2,4,1,0.00
Shaquille O'Neal,LAL,C,67,36.1,27.2,10.6,18.3,57.9,0.0,0.0,0.0,5.9,10.7,55.5,10.7,3.0,2.6,0.6,2.0,40,0,0.00
Paul Pierce,BOS,SF,82,40.3,26.1,8.6,19.5,44.2,2.6,6.3,40.4,6.3,7.8,80.9,6.9,3.2,2.9,1.9,1.0,17,0,0.00
Tracy McGrady,ORL,SG,76,38.3,25.6,9.4,20.9,45.1,1.4,3.7,36.4,5.5,7.3,74.8,7.9,5.3,2.5,1.6,1.0,24,1,0.00
Tim Duncan,SA,C,82,40.6,25.5,9.3,18.3,50.8,0.0,0.1,10.0,6.8,8.5,79.9,12.7,3.7,3.2,0.7,2.5,67,0,0.00
Kobe Bryant,LAL,SF,80,38.3,25.2,9.4,20.0,46.9,0.4,1.7,25.0,6.1,7.4,82.9,5.5,5.5,2.8,1.5,0.4,11,1,0.00
Vince Carter,TOR,SG,60,39.8,24.7,9.3,21.8,42.8,2.0,5.2,38.7,4.1,5.1,79.8,5.2,4.0,2.6,1.6,0.7,5,0,0.00
Dirk Nowitzki,DAL,F,76,38.0,23.4,7.9,16.6,47.7,1.8,4.6,39.7,5.8,6.8,85.3,9.9,2.4,1.9,1.1,1.0,38,0,0.00
Karl Malone,UTAH,PF,80,38.0,22.4,7.9,17.5,45.4,0.1,0.3,36.0,6.4,8.0,79.7,8.6,4.3,3.3,1.9,0.7,28,0,0.00
Antoine Walker,BOS,PF,81,42.0,22.1,8.2,20.9,39.4,2.7,8.0,34.4,3.0,4.0,74.1,8.8,5.0,3.1,1.5,0.5,29,2,0.00
Gary Payton,SEA,PG,82,40.3,22.1,9.0,19.2,46.7,0.9,2.9,31.4,3.3,4.1,79.7,4.8,9.0,2.5,1.6,0.3,32,2,0.00
Ray Allen,MIL,SG,69,36.6,21.8,7.7,16.6,46.2,3.3,7.7,43.4,3.1,3.6,87.3,4.5,3.9,2.3,1.3,0.3,3,0,0.00
Cuttino Mobley,HOU,SG,74,42.1,21.7,8.0,18.4,43.8,2.0,5.1,39.5,3.6,4.2,85.0,4.1,2.5,2.4,1.5,0.5,1,0,0.00
Jerry Stackhouse,DET,SF,76,35.3,21.4,6.9,17.4,39.7,1.1,3.9,28.7,6.5,7.6,85.8,4.1,5.3,3.5,1.0,0.5,5,0,0.00
Shareef Abdur-Rahim,ATL,PF,77,38.7,21.2,7.8,16.8,46.1,0.3,0.9,30.0,5.4,6.8,80.1,9.0,3.1,3.2,1.3,1.1,32,0,0.00
Peja Stojakovic,SAC,SF,71,37.3,21.2,7.7,15.9,48.4,1.8,4.4,41.6,4.0,4.5,87.6,5.3,2.5,2.0,1.1,0.2,2,0,0.00
Kevin Garnett,MIN,PF,81,39.2,21.2,8.1,17.3,47.0,0.5,1.4,31.9,4.4,5.5,80.1,12.1,5.2,2.8,1.2,1.6,59,0,0.00
Michael Finley,DAL,SG,69,39.9,20.6,8.2,17.8,46.3,1.1,3.2,33.9,3.0,3.6,83.7,5.2,3.3,1.7,0.9,0.4,5,0,0.00
Jalen Rose,IND,SG,83,38.0,20.4,8.0,17.6,45.5,1.1,3.0,36.2,3.4,4.0,83.9,4.5,4.3,2.4,0.9,0.5,5,0,0.00
Stephon Marbury,PHX,PG,82,38.9,20.4,7.6,17.2,44.2,0.9,3.0,28.6,4.3,5.5,78.1,3.2,8.1,3.5,0.9,0.2,29,0,0.00
Allan Houston,NY,SG,77,37.8,20.4,7.4,16.9,43.7,1.8,4.5,39.3,3.8,4.4,87.0,3.3,2.5,2.2,0.7,0.1,1,0,0.00
Antawn Jamison,GS,PF,82,37.0,19.7,7.5,16.8,44.7,0.8,2.6,32.4,3.9,5.4,73.4,6.8,2.0,2.0,0.9,0.5,16,0,0.00
Sam Cassell,MIL,PG,74,35.2,19.7,7.5,16.2,46.3,1.0,2.8,34.8,3.8,4.4,86.0,4.2,6.7,2.4,1.2,0.2,11,0,0.00
Latrell Sprewell,NY,SG,81,41.1,19.4,7.1,17.5,40.4,1.8,5.0,36.0,3.5,4.3,82.1,3.7,3.9,2.8,1.2,0.2,0,0,0.00
Jason Terry,ATL,G,78,38.0,19.3,6.7,15.6,43.0,2.2,5.7,38.7,3.6,4.4,83.5,3.5,5.7,2.3,1.8,0.2,8,0,0.00
Rasheed Wallace,POR,PF,79,37.5,19.3,7.6,16.3,46.9,1.4,4.0,36.0,2.5,3.5,73.4,8.2,1.9,1.7,1.3,1.3,25,0,0.00
Shawn Marion,PHX,SG,81,38.4,19.1,8.1,17.2,46.9,0.6,1.5,39.3,2.4,2.8,84.5,9.9,2.0,1.8,1.8,1.1,43,0,0.00
Jermaine O'Neal,IND,C,72,37.6,19.0,7.5,15.7,47.9,0.0,0.2,7.1,3.9,5.7,68.8,10.5,1.6,2.4,0.6,2.3,39,0,0.00
Wally Szczerbiak,MIN,SG,82,38.0,18.7,7.4,14.6,50.7,1.1,2.3,45.5,2.8,3.3,83.1,4.8,3.1,2.2,0.8,0.3,5,0,0.00
Nick Van Exel,DEN,PG,72,34.7,18.4,7.0,17.0,40.9,1.7,4.9,34.0,2.8,3.5,80.1,3.5,6.6,2.2,0.6,0.2,11,0,0.00
Eddie Jones,MIA,SG,81,39.0,18.3,6.4,14.8,43.2,1.8,4.7,39.0,3.7,4.4,83.7,4.7,3.2,1.8,1.4,1.0,2,0,0.00
Elton Brand,LAC,PF,80,37.8,18.2,6.7,12.6,52.7,0.0,0.0,0.0,4.9,6.6,74.2,11.6,2.4,2.2,1.0,2.0,55,0,0.00
Baron Davis,CHA,PG,82,40.5,18.1,6.8,16.4,41.7,2.1,5.8,35.6,2.4,4.1,58.0,4.3,8.5,3.0,2.1,0.6,29,1,0.00
Steve Nash,DAL,PG,82,34.6,17.9,6.4,13.3,48.3,1.9,4.2,45.5,3.2,3.6,88.7,3.1,7.7,2.8,0.6,0.0,20,0,0.00
Pau Gasol,MEM,C,82,36.7,17.6,6.7,13.0,51.8,0.0,0.1,20.0,4.1,5.8,70.9,8.9,2.7,2.7,0.5,2.1,35,0,0.00
Bonzi Wells,POR,SG,74,31.7,17.0,6.6,14.0,46.9,0.9,2.3,38.4,2.9,3.9,74.1,6.0,2.8,2.6,1.5,0.3,7,0,0.00
Rashard Lewis,SEA,PF,71,36.4,16.8,6.4,13.7,46.8,1.7,4.5,38.9,2.3,2.8,81.0,7.0,1.7,1.4,1.5,0.6,16,0,0.00
Lamond Murray,CLE,SF,71,32.6,16.6,6.1,13.9,43.6,1.4,3.4,42.4,3.0,3.7,81.7,5.2,2.2,2.0,1.0,0.6,7,0,0.00
Reggie Miller,IND,SG,79,36.6,16.5,5.2,11.6,45.3,2.3,5.6,40.6,3.7,4.1,91.1,2.8,3.2,1.5,1.1,0.1,0,0,0.00
Andre Miller,CLE,PG,81,37.3,16.5,5.9,12.9,45.4,0.3,1.1,25.3,4.5,5.5,81.7,4.7,10.9,3.0,1.6,0.4,43,3,0.00
Alonzo Mourning,MIA,C,75,32.7,15.7,6.0,11.5,51.6,0.0,0.0,33.3,3.8,5.7,65.7,8.4,1.2,2.4,0.4,2.5,26,0,0.00
Wesley Person,CLE,SF,78,35.8,15.1,6.0,12.1,49.5,1.8,4.1,44.4,1.3,1.6,79.8,3.8,2.2,0.9,1.0,0.5,2,0,0.00
Kenyon Martin,NJ,PF,73,34.3,14.9,6.1,13.2,46.3,0.2,0.9,22.4,2.5,3.7,67.8,5.3,2.6,2.4,1.2,1.7,2,0,0.00
