"","Mean","Median","Mode","ESS","HDImass","HDIlow","HDIhigh","CompVal","PcntGtCompVal","ROPElow","ROPEhigh","PcntLtROPE","PcntInROPE","PcntGtROPE"
"omega[1]",0.252105101879692,0.261101,0.275981713963201,3099.1,0.95,0.133325,0.346191,NA,NA,NA,NA,NA,NA,NA
"omega[2]",0.356107391154696,0.345876,0.349221018935303,8061.7,0.95,0.0963117,0.578748,NA,NA,NA,NA,NA,NA,NA
"omega[3]",0.332247894360161,0.332536,0.333178513727912,70002,0.95,0.302124,0.362472,NA,NA,NA,NA,NA,NA,NA
"omega[4]",0.342985298262907,0.34317,0.343575429767142,71095.6,0.95,0.327118,0.358805,NA,NA,NA,NA,NA,NA,NA
"omega[5]",0.35695746360104,0.3570485,0.357083542864976,70002,0.95,0.343799,0.370019,NA,NA,NA,NA,NA,NA,NA
"omega[6]",0.353040332890489,0.353072,0.352575619139039,70002,0.95,0.340311,0.365419,NA,NA,NA,NA,NA,NA,NA
"omega[7]",0.365737187880346,0.365802,0.366107004259871,68764.7,0.95,0.354509,0.376599,NA,NA,NA,NA,NA,NA,NA
"omegaO",0.345400669809605,0.335202,0.338014910263861,5031,0.95,0.048479,0.501413,NA,NA,NA,NA,NA,NA,NA
"kappa[1]",12.9414309932573,11.0592,8.45879618798071,12446.8,0.95,2,27.043,NA,NA,NA,NA,NA,NA,NA
"kappa[2]",14.3641966752378,2,1.88718014385637,5143.3,0.95,2,74.0203,NA,NA,NA,NA,NA,NA,NA
"kappa[3]",173.977012746207,150.724,109.020188597314,70837.5,0.95,22.4523,378.665,NA,NA,NA,NA,NA,NA,NA
"kappa[4]",181.733047094369,167.788,148.308420963981,70002,0.95,64.8555,330.262,NA,NA,NA,NA,NA,NA,NA
"kappa[5]",255.319299950001,240.799,214.459753120428,69193.7,0.95,105.272,434.749,NA,NA,NA,NA,NA,NA,NA
"kappa[6]",289.166743017342,271.0495,237.449332444069,70812.3,0.95,112.167,499.58,NA,NA,NA,NA,NA,NA,NA
"kappa[7]",239.807752212794,228.923,207.652795371645,70002,0.95,110.62,388.307,NA,NA,NA,NA,NA,NA,NA
"kappaO",92.0058753588469,69.3054,4.35251861032809,7748.6,0.95,2,259.944,NA,NA,NA,NA,NA,NA,NA
"theta[1]",0.363819119353733,0.3637605,0.364687494206816,70002,0.95,0.33791,0.390651,NA,NA,NA,NA,NA,NA,NA
"theta[2]",0.378969587997486,0.3787775,0.378533562963317,70002,0.95,0.348926,0.409165,NA,NA,NA,NA,NA,NA,NA
"theta[3]",0.292103717808063,0.292337,0.291961302365543,70002,0.95,0.24057,0.341207,NA,NA,NA,NA,NA,NA,NA
"theta[4]",0.294392959358304,0.29382,0.291376334021059,71916.7,0.95,0.242497,0.349328,NA,NA,NA,NA,NA,NA,NA
"theta[5]",0.417875766920945,0.4177235,0.418248355714579,70002,0.95,0.387022,0.449564,NA,NA,NA,NA,NA,NA,NA
"theta[6]",0.367668748207194,0.3673025,0.365461819351572,70002,0.95,0.327173,0.407542,NA,NA,NA,NA,NA,NA,NA
"theta[7]",0.338291318519471,0.338293,0.338439368809832,70850.9,0.95,0.300589,0.375019,NA,NA,NA,NA,NA,NA,NA
"theta[8]",0.356939678523471,0.356857,0.359211349376197,70002,0.95,0.320725,0.394579,NA,NA,NA,NA,NA,NA,NA
"theta[9]",0.37036900231422,0.3702425,0.371707959012556,70002,0.95,0.338494,0.40244,NA,NA,NA,NA,NA,NA,NA
"theta[10]",0.358742751635668,0.358652,0.359529732994638,70002,0.95,0.329697,0.389612,NA,NA,NA,NA,NA,NA,NA
"theta[11]",0.349174460472558,0.349065,0.347295817113234,71582.8,0.95,0.316759,0.382045,NA,NA,NA,NA,NA,NA,NA
"theta[12]",0.354822682351933,0.354626,0.354896061633703,70002,0.95,0.318987,0.390332,NA,NA,NA,NA,NA,NA,NA
"theta[13]",0.389528589783149,0.389417,0.392359961026258,70002,0.95,0.340109,0.439067,NA,NA,NA,NA,NA,NA,NA
