"","Mean","Median","Mode","ESS","HDImass","HDIlow","HDIhigh","CompVal","PcntGtCompVal","ROPElow","ROPEhigh","PcntLtROPE","PcntInROPE","PcntGtROPE"
"omega[1]",0.0366800038699701,0.02792175,0.0107799755824526,1002,0.95,3.73271e-06,0.100214,NA,NA,NA,NA,NA,NA,NA
"omega[2]",0.320244380236527,0.2661135,0.270380432856069,21.5,0.95,0.000221459,0.844007,NA,NA,NA,NA,NA,NA,NA
"omega[3]",0.341285927145709,0.3418785,0.340813093608323,1096.2,0.95,0.312856,0.368422,NA,NA,NA,NA,NA,NA,NA
"omega[4]",0.290920584181637,0.305981,0.319565519896183,844.3,0.95,0.157932,0.36662,NA,NA,NA,NA,NA,NA,NA
"omega[5]",0.363617523952096,0.3638175,0.36583121710576,1002,0.95,0.344231,0.383361,NA,NA,NA,NA,NA,NA,NA
"omega[6]",0.362162118762475,0.3623165,0.362945842406528,1002,0.95,0.34137,0.384641,NA,NA,NA,NA,NA,NA,NA
"omega[7]",0.373986912175649,0.374485,0.375867021897807,1002,0.95,0.35712,0.389017,NA,NA,NA,NA,NA,NA,NA
"omegaO",0.465716507674651,0.4338695,0.26903353362747,858.6,0.95,0.0157708,0.936727,NA,NA,NA,NA,NA,NA,NA
"kappa[1]",8.90388294411178,8.33284,7.59608583547738,1002,0.95,3.83239,14.9007,NA,NA,NA,NA,NA,NA,NA
"kappa[2]",10.5223402794411,5.03765,2.47116400983037,63.8,0.95,2,39.2784,NA,NA,NA,NA,NA,NA,NA
"kappa[3]",129.932536327345,114.4415,92.4822511580516,863.5,0.95,24.4118,272.486,NA,NA,NA,NA,NA,NA,NA
"kappa[4]",58.6216421257485,36.1485,18.7865843725417,838.7,0.95,3.12323,185.633,NA,NA,NA,NA,NA,NA,NA
"kappa[5]",162.403266367265,146.8305,130.337439662944,1002,0.95,38.4675,315.309,NA,NA,NA,NA,NA,NA,NA
"kappa[6]",172.166457185629,156.859,137.963165430561,1402.8,0.95,51.5118,320.413,NA,NA,NA,NA,NA,NA,NA
"kappa[7]",233.946796307385,211.0415,179.096338371607,1105.1,0.95,84,457.632,NA,NA,NA,NA,NA,NA,NA
"kappaO",2.73823526946108,2,1.98680209138579,205.9,0.95,2,7.73891,NA,NA,NA,NA,NA,NA,NA
"theta[1]",0.359856854291417,0.3603585,0.362786656614471,1002,0.95,0.320204,0.393338,NA,NA,NA,NA,NA,NA,NA
"theta[2]",0.353431141716567,0.354912,0.360820439657344,1002,0.95,0.306101,0.39713,NA,NA,NA,NA,NA,NA,NA
"theta[3]",0.356698582834331,0.3563945,0.357203865561533,1098.6,0.95,0.299782,0.412198,NA,NA,NA,NA,NA,NA,NA
"theta[4]",0.314321056886228,0.3156195,0.319541448812741,1162.4,0.95,0.261351,0.366779,NA,NA,NA,NA,NA,NA,NA
"theta[5]",0.337600966067864,0.3386565,0.343420156837166,1002,0.95,0.296473,0.378789,NA,NA,NA,NA,NA,NA,NA
"theta[6]",0.290668136027944,0.286091,0.264214999259352,1002,0.95,0.145829,0.469447,NA,NA,NA,NA,NA,NA,NA
"theta[7]",0.343848749500998,0.3438295,0.344861570956726,1485.3,0.95,0.303368,0.38471,NA,NA,NA,NA,NA,NA,NA
"theta[8]",0.365964249500998,0.3661035,0.368140574878484,1257.2,0.95,0.331,0.407538,NA,NA,NA,NA,NA,NA,NA
"theta[9]",0.381853654690619,0.3825725,0.38390400701414,1002,0.95,0.348594,0.422708,NA,NA,NA,NA,NA,NA,NA
"theta[10]",0.389840982035928,0.3885145,0.385016648957231,1002,0.95,0.319558,0.457508,NA,NA,NA,NA,NA,NA,NA
"theta[11]",0.0736022096122755,0.0576299,0.0261910293242075,1222.2,0.95,7.56755e-05,0.192213,NA,NA,NA,NA,NA,NA,NA
"theta[12]",0.319744816367265,0.318609,0.315693796063361,1297.4,0.95,0.196363,0.433613,NA,NA,NA,NA,NA,NA,NA
"theta[13]",0.340999857285429,0.342041,0.343400891464979,1002,0.95,0.285163,0.402056,NA,NA,NA,NA,NA,NA,NA
"theta[14]",0.0380846656719561,0.0287866,0.0158197891844327,1002,0.95,5.57508e-05,0.107276,NA,NA,NA,NA,NA,NA,NA
"theta[15]",0.344483042914172,0.3429205,0.340416913787901,1002,0.95,0.283731,0.404021,NA,NA,NA,NA,NA,NA,NA
"theta[16]",0.379476924151697,0.3794625,0.380204641640075,1002,0.95,0.343335,0.419845,NA,NA,NA,NA,NA,NA,NA
"theta[17]",0.149332722728543,0.112628,0.0521836181604989,1211,0.95,0.000446282,0.403794,NA,NA,NA,NA,NA,NA,NA
"theta[18]",0.398796978043912,0.399464,0.399772211641371,1002,0.95,0.332283,0.457527,NA,NA,NA,NA,NA,NA,NA
"theta[19]",0.19782628003992,0.192539,0.186346141380973,1002,0.95,0.0962813,0.312109,NA,NA,NA,NA,NA,NA,NA
"theta[20]",0.360500386227545,0.3593805,0.355916252141245,1002,0.95,0.287148,0.433071,NA,NA,NA,NA,NA,NA,NA
"theta[21]",0.373373852295409,0.3734965,0.374174724682108,1002,0.95,0.332693,0.422733,NA,NA,NA,NA,NA,NA,NA
"theta[22]",0.151930452655689,0.1292425,0.055070627021507,506.1,0.95,0.000872412,0.344251,NA,NA,NA,NA,NA,NA,NA
"theta[23]",0.153286426627744,0.1131935,0.0521308520149818,1002,0.95,0.00107279,0.429508,NA,NA,NA,NA,NA,NA,NA
"theta[24]",0.330498587824351,0.3316765,0.338319383420068,1002,0.95,0.21517,0.461527,NA,NA,NA,NA,NA,NA,NA
"theta[25]",0.150369344774451,0.1153245,0.0550658404076602,1097.6,0.95,0.000277685,0.403029,NA,NA,NA,NA,NA,NA,NA
"theta[26]",0.413463385229541,0.4125605,0.411124079796852,1002,0.95,0.37472,0.459071,NA,NA,NA,NA,NA,NA,NA
"theta[27]",0.368759807348303,0.32588,0.294627618813681,76.3,0.95,0.00391242,0.872115,NA,NA,NA,NA,NA,NA,NA
"theta[28]",0.301718219560878,0.300816,0.294392266459333,1002,0.95,0.258248,0.351715,NA,NA,NA,NA,NA,NA,NA
"theta[29]",0.340133794411178,0.3396135,0.326726732941105,1031.4,0.95,0.265255,0.411729,NA,NA,NA,NA,NA,NA,NA
"theta[30]",0.342010651696607,0.342392,0.344700960712794,1002,0.95,0.297444,0.391612,NA,NA,NA,NA,NA,NA,NA
"theta[31]",0.343907903193613,0.343329,0.341502815758516,1002,0.95,0.306884,0.38678,NA,NA,NA,NA,NA,NA,NA
"theta[32]",0.33166499001996,0.3300595,0.321654117518483,1002,0.95,0.207759,0.466795,NA,NA,NA,NA,NA,NA,NA
"theta[33]",0.333823895209581,0.334511,0.328085348727852,1002,0.95,0.271087,0.391892,NA,NA,NA,NA,NA,NA,NA
"theta[34]",0.390488293413174,0.3894815,0.386212776618655,1260.9,0.95,0.349388,0.437176,NA,NA,NA,NA,NA,NA,NA
"theta[35]",0.345817239520958,0.345543,0.344443293814539,1002,0.95,0.280983,0.409015,NA,NA,NA,NA,NA,NA,NA
"theta[36]",0.419323810379241,0.418804,0.4187413016402,1134.4,0.95,0.379808,0.463748,NA,NA,NA,NA,NA,NA,NA
"theta[37]",0.312590863672655,0.315171,0.324143695289552,1170.1,0.95,0.120685,0.504012,NA,NA,NA,NA,NA,NA,NA
"theta[38]",0.376051814371258,0.37579,0.377052732235789,1120.1,0.95,0.338697,0.412602,NA,NA,NA,NA,NA,NA,NA
"theta[39]",0.399382603792415,0.3986545,0.396848620409427,1002,0.95,0.359559,0.440486,NA,NA,NA,NA,NA,NA,NA
"theta[40]",0.380315226546906,0.38042,0.381707626042118,1002,0.95,0.328112,0.433113,NA,NA,NA,NA,NA,NA,NA
"theta[41]",0.347210614770459,0.347335,0.3460987455378,1002,0.95,0.303521,0.391496,NA,NA,NA,NA,NA,NA,NA
"theta[42]",0.353982868263473,0.352945,0.348926302690611,1002,0.95,0.306972,0.409589,NA,NA,NA,NA,NA,NA,NA
"theta[43]",0.391753012974052,0.3915875,0.392661031274976,1002,0.95,0.35246,0.428228,NA,NA,NA,NA,NA,NA,NA
"theta[44]",0.34027175249501,0.340493,0.339010643156558,1002,0.95,0.298182,0.386794,NA,NA,NA,NA,NA,NA,NA
"theta[45]",0.34344578243513,0.3446815,0.346959786498074,1002,0.95,0.287026,0.407546,NA,NA,NA,NA,NA,NA,NA
"theta[46]",0.0769343736706587,0.0624183,0.0238398815825657,1133,0.95,0.000183069,0.210645,NA,NA,NA,NA,NA,NA,NA
