PLAYER,Team,POS,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,REB,AST,STL,BLK,TO,DD2,TD3,PER
Stephen Curry,GS,PG,79,34.2,30.1,10.2,20.2,50.4,5.1,11.2,45.4,4.6,5.1,90.8,5.4,6.7,3.3,2.1,0.2,15,2,31.56
James Harden,HOU,SG,82,38.1,29.0,8.7,19.7,43.9,2.9,8.0,35.9,8.8,10.2,86.0,6.1,7.5,4.6,1.7,0.6,23,3,25.36
Kevin Durant,OKC,SF,72,35.8,28.2,9.7,19.2,50.5,2.6,6.7,38.6,6.2,6.9,89.8,8.2,5.0,3.5,1.0,1.2,27,1,28.25
DeMarcus Cousins,SAC,C,65,34.6,26.9,9.2,20.5,45.1,1.1,3.2,33.3,7.3,10.2,71.8,11.5,3.3,3.8,1.6,1.4,47,1,23.67
LeBron James,CLE,SF,76,35.6,25.3,9.7,18.6,52.0,1.1,3.7,30.9,4.7,6.5,73.1,7.4,6.8,3.3,1.4,0.6,28,3,27.64
Damian Lillard,POR,PG,75,35.7,25.1,8.2,19.7,41.9,3.1,8.1,37.5,5.5,6.2,89.2,4.0,6.8,3.2,0.9,0.4,15,0,22.25
Anthony Davis,NO,PF,61,35.5,24.3,9.2,18.6,49.3,0.6,1.8,32.4,5.3,7.0,75.8,10.3,1.9,2.0,1.3,2.0,36,0,25.10
Russell Westbrook,OKC,PG,80,34.4,23.5,8.2,18.1,45.4,1.3,4.3,29.6,5.8,7.2,81.2,7.8,10.4,4.3,2.0,0.3,54,18,27.64
DeMar DeRozan,TOR,SG,78,35.9,23.5,7.9,17.7,44.6,0.6,1.8,33.8,7.1,8.4,85.0,4.5,4.0,2.2,1.0,0.3,3,0,21.58
Paul George,IND,SF,81,34.8,23.1,7.5,17.9,41.8,2.6,7.0,37.1,5.6,6.5,86.0,7.0,4.1,3.3,1.9,0.4,15,0,20.98
Isaiah Thomas,BOS,PG,82,32.2,22.2,7.2,16.9,42.8,2.0,5.7,35.9,5.8,6.6,87.1,3.0,6.2,2.7,1.1,0.1,7,0,21.54
Klay Thompson,GS,SG,80,33.3,22.1,8.1,17.3,47.0,3.5,8.1,42.5,2.4,2.8,87.3,3.8,2.1,1.7,0.8,0.6,0,0,18.67
Carmelo Anthony,NY,PF,72,35.1,21.8,7.9,18.2,43.4,1.5,4.3,33.9,4.6,5.6,82.9,7.7,4.2,2.4,0.9,0.5,22,0,20.38
Kyle Lowry,TOR,PG,77,37.0,21.2,6.6,15.6,42.7,2.8,7.1,38.8,5.2,6.4,81.1,4.7,6.4,2.9,2.1,0.4,12,1,22.20
Kawhi Leonard,SA,SF,72,33.1,21.2,7.7,15.1,50.5,1.8,4.0,44.3,4.1,4.6,87.4,6.8,2.6,1.5,1.8,1.0,12,0,26.11
Jimmy Butler,CHI,SF,67,36.9,20.9,7.0,15.4,45.4,1.0,3.1,31.2,5.9,7.1,83.2,5.3,4.8,2.0,1.6,0.6,10,2,21.33
Kemba Walker,CHA,PG,81,35.6,20.9,7.0,16.4,42.7,2.2,6.0,37.1,4.6,5.4,84.7,4.4,5.2,2.1,1.6,0.5,3,0,20.87
CJ McCollum,POR,SG,80,34.8,20.8,8.0,17.9,44.8,2.5,5.9,41.7,2.3,2.8,82.7,3.2,4.3,2.5,1.2,0.3,2,0,17.79
Andrew Wiggins,MIN,SF,81,35.1,20.7,7.3,16.0,45.9,0.7,2.3,30.0,5.3,7.0,76.1,3.6,2.0,2.2,1.0,0.6,1,0,16.61
Brook Lopez,BKN,C,73,33.7,20.6,8.1,15.8,51.1,0.0,0.2,14.3,4.3,5.5,78.7,7.8,2.0,2.4,0.8,1.7,26,0,21.80
